stock_code,fiscal_year,revenue,operating_profit,net_income,total_assets,total_equity,total_liabilities,operating_margin,roe,debt_ratio,revenue_growth_rate,operating_profit_growth_rate,per_ratio,pbr_ratio,fcf,data_source,last_updated
060310,2024,43595351592,1164030344,2627346791,63790941612,48440167995,15350773617,2.6700,5.4200,31.6900,4.1500,-46.6200,31.0194,1.6825,0,DART,2025-12-24T11:12:17
060310,2023,41857755025,2180508808,1431602721,67635499845,45954754301,21680745544,5.2100,3.1200,47.1800,54.4000,50.1600,56.9283,1.7735,0,DART,2025-12-24T11:12:17
060310,2022,27110628415,1452134065,1171369995,65127864527,38338988847,26788875680,5.3600,3.0600,69.8700,15.4700,-203.1200,69.5755,2.1257,0,DART,2025-12-24T11:12:17
060310,2021,23477908383,-1408265950,695334883,54614752349,36546324438,18068427911,-6.0000,1.9000,49.4400,,,117.2078,2.2300,0,DART,2025-12-24T11:12:17
095570,2024,1014156314426,72790207643,36972397205,1717770434389,443723178425,1274047255964,7.1800,8.3300,287.1300,1.2200,-7.1400,5.6731,0.4727,0,DART,2025-12-24T11:12:18
095570,2023,1001975993554,78385856886,66755784866,1622157341878,419651809690,1202505532188,7.8200,15.9100,286.5500,-17.0800,3.8900,3.1420,0.4998,0,DART,2025-12-24T11:12:18
095570,2022,1208367577386,75447386515,8769534380,1481445371745,,1119559529255,6.2400,,,17.6900,67.2500,23.9176,,0,DART,2025-12-24T11:12:18
095570,2021,1026749457003,45109542821,76737133075,1355044449955,362510088118,992534361837,4.3900,21.1700,273.7900,,,2.7333,0.5786,0,DART,2025-12-24T11:12:18
006840,2024,4488280532801,130320128409,-16585694879,5336874928103,1245028500925,4091846427178,2.9000,-1.3300,328.6500,0.1900,-53.3100,,0.0940,0,DART,2025-12-24T11:12:20
006840,2023,4479660141625,279123890558,130395492971,5314995084396,1294261200121,4020733884275,6.2300,10.0700,310.6600,18.2600,-1379.0700,0.8971,0.0904,0,DART,2025-12-24T11:12:19
006840,2022,3787959855335,-21822473627,-119048517003,5004334961394,1282338179603,3721996781791,-0.5800,-9.2800,290.2500,19.5800,-86.8300,,0.0912,0,DART,2025-12-24T11:12:19
006840,2021,3167699652090,-165714944091,-199326056742,4548736656905,1202359271295,3346377385610,-5.2300,-16.5800,278.3200,,,,0.0973,0,DART,2025-12-24T11:12:19
054620,2024,93965013528,-22637555084,-3446806024,413209095861,225714445727,187494650134,-24.0900,-1.5300,83.0700,128.9200,21.6800,,0.3080,0,DART,2025-12-24T11:12:21
054620,2023,41047387923,-18603977383,14042768425,366360988198,224655106911,141705881287,-45.3200,6.2500,63.0800,0.5500,21.8400,4.9513,0.3095,0,DART,2025-12-24T11:12:20
054620,2022,40821934034,-15269627833,6392559695,367637598397,212607149715,155030448682,-37.4100,3.0100,72.9200,3.5700,285.2500,10.8767,0.3270,0,DART,2025-12-24T11:12:20
