종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1536","-53","-3.34","81498685440"
"054620","APS","KOSDAQ","금융","3780","-210","-5.26","69530155380"
"265520","AP시스템","KOSDAQ","기계·장비","19590","-560","-2.78","294845583390"
"211270","AP위성","KOSDAQ","전기·전자","11710","-920","-7.28","176613779840"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3880","25","0.65","243535568120"
"083790","CG인바이츠","KOSDAQ","일반서비스","1470","-29","-1.93","113034447540"
"035760","CJ ENM","KOSDAQ","오락·문화","64800","200","0.31","1421009179200"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","9550","-370","-3.73","124775162100"
"051500","CJ프레시웨이","KOSDAQ","유통","28050","100","0.36","332997987300"
"058820","CMG제약","KOSDAQ","제약","1875","-42","-2.19","277204093125"
"056730","CNT85","KOSDAQ","건설","617","-6","-0.96","45726601762"
"065770","CS","KOSDAQ","전기·전자","800","3","0.38","15528904000"
"083660","CSA 코스믹","KOSDAQ","화학","534","-29","-5.15","33550931106"
"477760","DB금융스팩12호","KOSDAQ","금융","2130","15","0.71","12439200000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2435","15","0.62","38532046315"
"025440","DH오토웨어","KOSDAQ","전기·전자","742","-23","-3.01","36195668208"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","7120","-700","-8.95","192240000000"
"180400","DXVX","KOSDAQ","일반서비스","2500","235","10.38","123048580000"
"418620","E8","KOSDAQ","IT 서비스","1561","12","0.77","20059594597"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5680","150","2.71","48989840960"
"050120","ES큐브","KOSDAQ","유통","2915","-115","-3.80","39539310690"
"214270","FSN","KOSDAQ","IT 서비스","1844","-14","-0.75","80566128396"
"130500","GH신소재","KOSDAQ","섬유·의류","2425","-5","-0.21","35271751100"
"900290","GRT","KOSDAQ","금융","3090","-65","-2.06","249826500000"
"083450","GST","KOSDAQ","기계·장비","29300","4200","16.73","539999000000"
"297890","HB솔루션","KOSDAQ","기계·장비","2055","-35","-1.67","150304578270"
"440290","HB인베스트먼트","KOSDAQ","금융","2335","-90","-3.71","64227514050"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1849","-36","-1.91","171431728684"
"225530","HC보광산업","KOSDAQ","비금속","2975","45","1.54","108107712825"
"060560","HC홈센타","KOSDAQ","유통","753","4","0.53","96135152325"
"376270","HEM파마","KOSDAQ","일반서비스","45850","1100","2.46","325014006450"
"195940","HK이노엔","KOSDAQ","제약","51200","-900","-1.73","1450490419200"
"028300","HLB","KOSDAQ","제약","46600","250","0.54","6144354926000"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1451","-9","-0.62","126245037089"
"067630","HLB생명과학","KOSDAQ","제약","3770","5","0.13","459627308660"
"024850","HLB이노베이션","KOSDAQ","전기·전자","2005","-10","-0.50","289794904560"
"187420","HLB제넥스","KOSDAQ","제약","2710","-5","-0.18","78958240220"
"047920","HLB제약","KOSDAQ","일반서비스","14920","0","0.00","489366391520"
"115450","HLB테라퓨틱스","KOSDAQ","유통","2830","5","0.18","238801804290"
"046210","HLB파나진","KOSDAQ","제약","1675","0","0.00","75587252650"
"196300","HLB펩","KOSDAQ","제약","7050","0","0.00","65518455900"
"403870","HPSP","KOSDAQ","기계·장비","30400","450","1.50","2541761267200"
"036640","HRS","KOSDAQ","화학","5570","-20","-0.36","91096236000"
"448760","IBKS제22호스팩","KOSDAQ","금융","5570","0","0.00","24675100000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2210","-10","-0.45","9348300000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2205","5","0.23","9327150000"
"0099X0","IBKS제25호스팩","KOSDAQ","금융","2065","10","0.49","12348700000"
"095340","ISC","KOSDAQ","유통","107300","600","0.56","2274444323400"
"950170","JTC","KOSDAQ","유통","3905","-80","-2.01","202069488940"
"067290","JW신약","KOSDAQ","제약","2015","-55","-2.66","107552893890"
"035900","JYP Ent.","KOSDAQ","오락·문화","72200","2200","3.14","2565445922400"
"318000","KBG","KOSDAQ","화학","4495","-30","-0.66","39287302385"
"024840","KBI메탈","KOSDAQ","금속","1700","-65","-3.68","59345638300"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3650","-5","-0.14","41975000000"
"455250","KB제25호스팩","KOSDAQ","금융","2100","0","0.00","9040500000"
"464680","KB제27호스팩","KOSDAQ","금융","2060","0","0.00","26584300000"
"478390","KB제29호스팩","KOSDAQ","금융","2065","-5","-0.24","12844300000"
"486630","KB제30호스팩","KOSDAQ","금융","2030","0","0.00","10779300000"
"492220","KB제31호스팩","KOSDAQ","금융","2010","0","0.00","12482100000"
"0037T0","KB제32호스팩","KOSDAQ","금융","2005","6","0.30","12691650000"
"0072Z0","KB제33호스팩","KOSDAQ","금융","1988","0","0.00","15675380000"
"021320","KCC건설","KOSDAQ","건설","5700","-20","-0.35","121980000000"
"044180","KD","KOSDAQ","건설","582","-19","-3.16","15549759018"
"046440","KG모빌리언스","KOSDAQ","IT 서비스","4955","-15","-0.30","188343523910"
"151860","KG에코솔루션","KOSDAQ","운송장비·부품","5980","-150","-2.45","284665951960"
"035600","KG이니시스","KOSDAQ","IT 서비스","10820","40","0.37","298138975880"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","67617390260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","62746456410"
"060720","KH바텍","KOSDAQ","전기·전자","11400","-250","-2.15","269922838800"
"058400","KNN","KOSDAQ","오락·문화","707","-4","-0.56","93627812040"
"101000","KS인더스트리","KOSDAQ","기계·장비","740","-13","-1.73","24750633480"
"089600","KT나스미디어","KOSDAQ","일반서비스","13340","-120","-0.89","154319294420"
"418470","KT밀리의서재","KOSDAQ","IT 서비스","13760","-200","-1.43","117865256640"
"043610","KT지니뮤직","KOSDAQ","오락·문화","1916","-9","-0.47","111349179208"
"122450","KX","KOSDAQ","오락·문화","3850","-20","-0.52","172556360900"
"052900","KX하이텍","KOSDAQ","화학","900","-1","-0.11","58837010400"
"036560","KZ정밀","KOSDAQ","기계·장비","15730","-300","-1.87","247747500000"
"061970","LB세미콘","KOSDAQ","전기·전자","3920","-115","-2.85","227685383520"
"309960","LB인베스트먼트","KOSDAQ","금융","6150","-550","-8.21","142786019850"
"225190","LK삼양","KOSDAQ","의료·정밀기기","1447","-174","-10.73","101967832680"
"060370","LS마린솔루션","KOSDAQ","건설","30500","-1450","-4.54","1593285047000"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","13550","-150","-1.09","916693529450"
"078020","LS증권","KOSDAQ","금융","4875","-5","-0.10","270470801250"
"322180","LS티라유텍","KOSDAQ","IT 서비스","7630","-130","-1.68","159634737920"
"476080","M83","KOSDAQ","오락·문화","9060","-510","-5.33","72815220000"
"086960","MDS테크","KOSDAQ","IT 서비스","1333","-13","-0.97","128932057592"
"160550","NEW","KOSDAQ","오락·문화","2020","-30","-1.46","56370334120"
"053290","NE능률","KOSDAQ","오락·문화","1798","-22","-1.21","29714299986"
"060250","NHN KCP","KOSDAQ","금융","15430","-40","-0.26","619678227730"
"104200","NHN벅스","KOSDAQ","IT 서비스","3090","-60","-1.90","45817129500"
"063570","NICE인프라","KOSDAQ","일반서비스","4270","-30","-0.70","145810798560"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","5620","-90","-1.58","56200000000"
"332570","PS일렉트로닉스","KOSDAQ","전기·전자","4950","-440","-8.16","216759143700"
"218410","RFHIC","KOSDAQ","전기·전자","33750","-2450","-6.77","894491167500"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","24800","-1500","-5.70","209144128800"
"474610","RF시스템즈","KOSDAQ","금속","4820","-180","-3.60","64722102040"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2335","-10","-0.43","27328188535"
"419530","SAMG엔터","KOSDAQ","오락·문화","42700","1200","2.89","415663790500"
"019550","SBI인베스트먼트","KOSDAQ","금융","745","-39","-4.97","120739598375"
