종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4635","-40","-0.86","209746537965"
"006840","AK홀딩스","KOSPI","기타금융","8830","0","0.00","116975963630"
"027410","BGF","KOSPI","기타금융","4060","-10","-0.25","388610171460"
"282330","BGF리테일","KOSPI","유통","110200","-400","-0.36","1904686441200"
"138930","BNK금융지주","KOSPI","기타금융","16140","-90","-0.55","5074821985560"
"001460","BYC","KOSPI","섬유·의류","42950","1100","2.63","268272142500"
"001465","BYC우","KOSPI","섬유·의류","25150","50","0.20","54169327500"
"001040","CJ","KOSPI","기타금융","171900","-1200","-0.69","5015525956200"
"079160","CJ CGV","KOSPI","오락·문화","6030","-40","-0.66","998456420880"
"00104K","CJ4우(전환)","KOSPI","기타금융","152300","-1000","-0.65","643697777600"
"000120","CJ대한통운","KOSPI","운송·창고","93700","-1200","-1.26","2137516632800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2900","10","0.35","104199241700"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","14300","-1750","-10.90","2860000000"
"001045","CJ우","KOSPI","기타금융","86800","-300","-0.34","196187356400"
"097950","CJ제일제당","KOSPI","음식료·담배","211000","-500","-0.24","3176433246000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","138200","300","0.22","183451240600"
"000480","CR홀딩스","KOSPI","비금속","5070","-10","-0.20","237734784300"
"000590","CS홀딩스","KOSPI","기타금융","79500","-2400","-2.93","91781319000"
"012030","DB","KOSPI","IT 서비스","1497","-23","-1.51","301157377701"
"005830","DB손해보험","KOSPI","보험","128800","2200","1.74","9119040000000"
"016610","DB증권","KOSPI","증권","10760","-10","-0.09","456723145640"
"000990","DB하이텍","KOSPI","전기·전자","69400","1100","1.61","3019218407200"
"000300","DH오토넥스","KOSPI","운송장비·부품","1984","0","0.00","164422234240"
"001530","DI동일","KOSPI","유통","20500","-300","-1.44","404450240000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","38900","-250","-0.64","815183887600"
"000215","DL우","KOSPI","화학","24200","-350","-1.43","40803983000"
"375500","DL이앤씨","KOSPI","건설","41950","-350","-0.83","1623197484850"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","31950","150","0.47","67476834450"
"37550K","DL이앤씨우","KOSPI","건설","22700","-350","-1.52","47985189500"
"007340","DN오토모티브","KOSPI","전기·전자","25550","-300","-1.16","1494952600750"
"004840","DRB동일","KOSPI","화학","4840","10","0.21","96461200000"
"155660","DSR","KOSPI","금속","3880","-15","-0.39","62080000000"
"069730","DSR제강","KOSPI","금속","3935","-10","-0.25","56664000000"
"017860","DS단석","KOSPI","화학","19020","-280","-1.45","334451712240"
"092780","DYP","KOSPI","운송장비·부품","3360","-70","-2.04","44246025600"
"017940","E1","KOSPI","유통","86700","-600","-0.69","594762000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4115","-15","-0.36","1012656235000"
"383220","F&F","KOSPI","섬유·의류","75500","-2700","-3.45","2892184162500"
"007700","F&F홀딩스","KOSPI","기타금융","20100","-450","-2.19","786198776700"
"114090","GKL","KOSPI","오락·문화","15170","-140","-0.91","938350513900"
"078930","GS","KOSPI","기타금융","55100","-500","-0.90","5119637327800"
"006360","GS건설","KOSPI","건설","19900","-200","-1.00","1703071651000"
"001250","GS글로벌","KOSPI","유통","2345","-25","-1.05","193541676580"
"007070","GS리테일","KOSPI","유통","21500","-200","-0.92","1797559422500"
"078935","GS우","KOSPI","기타금융","47600","-200","-0.42","84957717600"
"499790","GS피앤엘","KOSPI","기타금융","43600","450","1.04","864624667600"
"012630","HDC","KOSPI","기타금융","18040","90","0.50","1077740646840"
"039570","HDC랩스","KOSPI","건설","8440","-140","-1.63","219082152440"
"089470","HDC현대EP","KOSPI","화학","4340","20","0.46","138446000000"
"294870","HDC현대산업개발","KOSPI","건설","21150","50","0.24","1393940029500"
"009540","HD한국조선해양","KOSPI","기타금융","432000","13500","3.23","30573986112000"
"267250","HD현대","KOSPI","기타금융","193300","-1900","-0.97","15269363330500"
"267270","HD현대건설기계","KOSPI","기계·장비","93400","-2100","-2.20","1621201054200"
"443060","HD현대마린솔루션","KOSPI","일반서비스","195800","-600","-0.31","8777559318000"
"071970","HD현대마린엔진","KOSPI","기계·장비","97100","5900","6.47","3293777164500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","61100","-2200","-3.48","684320000000"
"042670","HD현대인프라코어","KOSPI","기계·장비","13880","-380","-2.66","2621255183440"
"267260","HD현대일렉트릭","KOSPI","전기·전자","794000","-11000","-1.37","28621425190000"
"329180","HD현대중공업","KOSPI","운송장비·부품","533000","19000","3.70","55944332925000"
"097230","HJ중공업","KOSPI","건설","22850","1200","5.54","2063248610400"
"014790","HL D&I","KOSPI","건설","2650","-10","-0.38","100325292650"
"003580","HLB글로벌","KOSPI","유통","2150","-10","-0.46","108926535750"
"204320","HL만도","KOSPI","운송장비·부품","53400","-2200","-3.96","2507510208000"
"060980","HL홀딩스","KOSPI","기타금융","45550","-1150","-2.46","419673877350"
"011200","HMM","KOSPI","운송·창고","20500","-50","-0.24","19336378385000"
